"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","CZ error ","Gate time (ns)","Operational"
"62","138.58911371980025","132.37120031664637","0","0","0.016100000000000003","0.021","0.011199999999999988","1560","0.0005420351096056809","0","0.0005420351096056809","0.0005420351096056809","62_61:0.007874017478564393;62_63:0.009177987105589647","62_61:68;62_63:164","true"
"63","126.1535711519531","104.41975342021041","0","0","0.04160000000000008","0.0604","0.022800000000000042","1560","0.0007388889946152729","0","0.0007388889946152729","0.0007388889946152729","63_73:0.0028630987830358945;63_64:0.002355373512586606;63_62:0.009177987105589647","63_73:88;63_64:68;63_62:164","true"
"64","258.10235487175265","129.55634366612466","0","0","0.011800000000000033","0.0138","0.009800000000000031","1560","0.00015812899657054126","0","0.00015812899657054126","0.00015812899657054126","64_65:0.0016123658985614797;64_63:0.002355373512586606","64_65:68;64_63:68","true"
"65","133.13133424228107","131.66097511053493","0","0","0.008599999999999941","0.009800000000000031","0.0074","1560","0.00021945677735460807","0","0.00021945677735460807","0.00021945677735460807","65_55:0.003107605900963456;65_64:0.0016123658985614797;65_66:0.001756908195936241","65_55:120;65_64:68;65_66:68","true"
"66","257.94130855108284","94.98106157876477","0","0","0.005199999999999982","0.0074","0.0030000000000000027","1560","0.00027845039254999736","0","0.00027845039254999736","0.00027845039254999736","66_65:0.001756908195936241;66_67:0.0019509539687078414","66_65:68;66_67:68","true"
"67","258.7834553311759","161.03864528617618","0","0","0.05190000000000006","0.043200000000000016","0.0606","1560","0.00025700742917661424","0","0.00025700742917661424","0.00025700742917661424","67_74:0.0018724726045269424;67_68:0.0028904440333543113;67_66:0.0019509539687078414","67_74:72;67_68:88;67_66:68","true"
"68","94.61573522990325","43.59847562931142","0","0","0.009399999999999964","0.009399999999999964","0.0094","1560","0.00035162952239836546","0","0.00035162952239836546","0.00035162952239836546","68_69:0.005974024906988895;68_67:0.0028904440333543113","68_69:68;68_67:88","true"
"69","217.4100754564534","83.45959659877639","0","0","0.025499999999999967","0.021599999999999953","0.0294","1560","0.00025491711006591256","0","0.00025491711006591256","0.00025491711006591256","69_56:0.004284462786515869;69_68:0.005974024906988895;69_70:0.0038716995715539493","69_56:160;69_68:68;69_70:68","true"
"70","79.14138823283976","33.86890649613576","0","0","0.0363","0.0344","0.03820000000000001","1560","0.0006880067226722141","0","0.0006880067226722141","0.0006880067226722141","70_69:0.0038716995715539493;70_71:0.0038546801590979562","70_69:68;70_71:68","true"
"71","215.0365580748725","45.296738635578954","0","0","0.02950000000000008","0.02300000000000002","0.036","1560","0.0003379377695646451","0","0.0003379377695646451","0.0003379377695646451","71_75:0.0038256685634866505;71_70:0.0038546801590979562","71_75:112;71_70:68","true"
"72","213.25539742338165","95.00546595409307","0","0","0.011299999999999977","0.0054","0.017199999999999993","1560","0.0005670230172025494","0","0.0005670230172025494","0.0005670230172025494","72_78:0.003630853654667948;72_59:0.002551865911377793","72_78:120;72_59:68","true"
"73","187.24365301084714","89.4319216674347","0","0","0.006900000000000017","0.007","0.006800000000000028","1560","0.00043042086540001547","0","0.00043042086540001547","0.00043042086540001547","73_82:0.0021194029249681223;73_63:0.0028630987830358945","73_82:88;73_63:88","true"
"74","282.09648941710645","133.52705710464238","0","0","0.006800000000000028","0.0078","0.005800000000000027","1560","0.0002366241187927882","0","0.0002366241187927882","0.0002366241187927882","74_86:0.001351986609661543;74_67:0.0018724726045269424","74_86:68;74_67:72","true"
"75","182.4338491894461","98.54629763689924","0","0","0.007100000000000106","0.010600000000000054","0.0036","1560","0.0015204992373944338","0","0.0015204992373944338","0.0015204992373944338","75_90:0.0027416971956695513;75_71:0.0038256685634866505","75_90:88;75_71:112","true"
"76","264.7802434444107","207.04644854529556","0","0","0.028699999999999948","0.01759999999999995","0.0398","1560","0.00016782754324738857","0","0.00016782754324738857","0.00016782754324738857","76_91:0.004211946634505387;76_77:0.008160725370368827","76_91:68;76_77:68","true"
"77","174.74872911409557","190.88240857295023","0","0","0.03509999999999991","0.0436","0.026599999999999957","1560","0.0005068783071270167","0","0.0005068783071270167","0.0005068783071270167","77_78:0.0031696283357755817;77_76:0.008160725370368827","77_78:68;77_76:68","true"
"78","110.98861153130179","93.47281059046007","0","0","0.02740000000000009","0.027000000000000024","0.0278","1560","0.0004219736010074213","0","0.0004219736010074213","0.0004219736010074213","78_72:0.003630853654667948;78_79:0.021285373920788525;78_77:0.0031696283357755817","78_72:120;78_79:88;78_77:68","true"
"79","130.61036231180276","124.27329189232965","0","0","0.02069999999999994","0.0386","0.0028000000000000247","1560","0.0032263839061897736","0","0.0032263839061897736","0.0032263839061897736","79_78:0.021285373920788525;79_80:0.015979441521560306","79_78:88;79_80:68","true"
"80","154.88339155048138","31.695001624784133","0","0","0.019100000000000006","0.019199999999999995","0.019","1560","0.00044560212126076615","0","0.00044560212126076615","0.00044560212126076615","80_92:0.0013528705276864839;80_79:0.015979441521560306;80_81:0.002444412443659977","80_92:68;80_79:68;80_81:68","true"
"81","208.98658545373596","190.119905231101","0","0","0.011700000000000044","0.0118","0.011600000000000055","1560","0.000430215803705954","0","0.000430215803705954","0.000430215803705954","81_82:0.0027896398437215475;81_80:0.002444412443659977","81_82:68;81_80:68","true"
"82","121.65708216683251","61.446908982678345","0","0","0.06519999999999992","0.07779999999999998","0.0526","1560","0.0003283802407513735","0","0.0003283802407513735","0.0003283802407513735","82_73:0.0021194029249681223;82_83:0.0022847402641655024;82_81:0.0027896398437215475","82_73:88;82_83:68;82_81:68","true"
"83","180.6782457763137","110.5209470325222","0","0","0.08950000000000002","0.0784","0.10060000000000002","1560","0.0002678960599400832","0","0.0002678960599400832","0.0002678960599400832","83_82:0.0022847402641655024;83_84:0.0027765961281835116","83_82:68;83_84:108","true"
"84","194.879184820899","142.5924100879965","0","0","0.05800000000000005","0.05800000000000005","0.058","1560","0.00019774319659598882","0","0.00019774319659598882","0.00019774319659598882","84_93:0.002178359590544715;84_83:0.0027765961281835116;84_85:0.007228729574320608","84_93:68;84_83:108;84_85:88","true"
"85","10.937717477042945","21.938063594451727","0","0","0.021700000000000053","0.0312","0.012199999999999989","1560","0.001170054141078508","0","0.001170054141078508","0.001170054141078508","85_86:0.006224956099108447;85_84:0.007228729574320608","85_86:68;85_84:88","true"
"86","191.90742061724796","105.65687268033199","0","0","0.19379999999999997","0.2532","0.1344","1560","0.00023558029752134514","0","0.00023558029752134514","0.00023558029752134514","86_74:0.001351986609661543;86_87:0.003303595226879119;86_85:0.006224956099108447","86_74:68;86_87:68;86_85:68","true"
